weight;word;color;url
314;ESTUDIANTES;;
164;CARRERA;;
148;FALTA;;
96;MATERIAS;;
91;DOCENTES;;
88;CENTRO;;
71;ALGUNOS;;
67;APOYO;;
57;PUEDEN;;
55;PROBLEMAS;;
55;SOBRE;;
53;AULAS;;
52;ESTUDIO;;
51;TENER;;
50;CLASES;;
42;MATERIA;;
38;ACTIVIDADES;;
36;UNIVERSIDAD;;
34;ENTRE;;
34;PORQUE;;
34;PUEDE;;
34;TIEMPO;;
33;POCO;;
30;ESTUDIANTE;;
29;CURSOS;;
29;SISTEMAS;;
28;ACCESO;;
28;MUCHOS;;
28;TALLERES;;
27;AMBIENTE;;
27;DOCENTE;;
27;INGENIERA;;
26;MEJOR;;
26;OTRA;;
25;REALIZAR;;
25;RECURSOS;;
25;SEMESTRES;;
24;AMBIENTES;;
24;ENSEANZA;;
24;INTERS;;
24;MEJORAR;;
24;TIENEN;;
23;CANTIDAD;;
23;PRIMER;;
22;ACADMICO;;
22;NUEVOS;;
22;ORIENTACIN;;
21;CLASE;;
21;DEBERIA;;
21;DIFERENTES;;
21;ESTUDIANTIL;;
21;MUCHO;;
21;TRABAJO;;
20;BIEN;;
20;FOMENTAR;;
20;LLEGAN;;
20;MUJERES;;
20;SEAN;;
19;APRENDIZAJE;;
19;CALIDAD;;
19;CAMPO;;
19;EVENTOS;;
19;MOTIVACIN;;
19;TIENE;;
18;DIFICULTAD;;
18;FAMILIARES;;
17;ALGUNAS;;
17;DEJAN;;
17;PIENSAN;;
17;SOLO;;
16;AVANZAR;;
16;ESTN;;
16;ESTUDIOS;;
16;INFORMACIN;;
16;INGENIEROS;;
16;LNEA;;
16;MANERA;;
16;TEMAS;;
15;ACADMICA;;
15;ALUMNOS;;
15;DEJAR;;
15;PERO;;
15;PRIMEROS;;
15;PROGRAMACIN;;
14;APRENDER;;
14;BIBLIOTECA;;
14;ESPACIO;;
14;EXPERIENCIA;;
14;HACEN;;
14;HACER;;
14;HORARIOS;;
14;INGRESAR;;
14;LABORAL;;
14;MAQUINAS;;
14;PASAR;;
14;PERCEPCIN;;
14;SERA;;
14;TAMBIN;;
14;TODO;;
13;ABANDONAN;;
13;AYUDA;;
13;COMPAEROS;;
13;COMUNICACIN;;
13;DONDE;;
13;DURANTE;;
13;EXMENES;;
13;GNERO;;
13;MAYOR;;
13;MUCHAS;;
13;PARTE;;
13;RAZONES;;
13;TECNOLOGA;;
13;VECES;;
13;WIFI;;
12;AQUELLOS;;
12;CAMBIO;;
12;CUANDO;;
12;DEBE;;
12;DESANIMAN;;
12;ECONOMICOS;;
12;ENSEAR;;
12;EQUIPO;;
12;EQUIPOS;;
12;ESTUDIAR;;
12;GESTIN;;
12;INTERNET;;
12;OBTENER;;
12;OFRECER;;
12;PROYECTOS;;
12;PUEDAN;;
12;RAZON;;
12;TCNICAS;;
11;ANIVERSARIO;;
11;AULA;;
11;BECAS;;
11;CADA;;
11;CAPACITADOS;;
11;CUAL;;
11;EDUCACIN;;
11;ELLOS;;
11;FUTURO;;
11;LUGARES;;
11;PRCTICAS;;
11;PROFESIONAL;;
11;TOMAR;;
10;ACADMICAS;;
10;CONTACTO;;
10;DEBEN;;
10;DEBERAN;;
10;DESDE;;
10;DISPONIBLES;;
10;EJEMPLO;;
10;ENCONTRAR;;
10;ESPECFICAS;;
10;FAMILIA;;
10;HACE;;
10;HORA;;
10;IMPLEMENTAR;;
10;INCENTIVAR;;
10;MALA;;
10;MOMENTO;;
10;NIVEL;;
10;PARTICIPAR;;
10;PERSONAS;;
10;PRESIN;;
10;TODOS;;
9;ALGUNA;;
9;ALTO;;
9;ATENDER;;
9;BRINDAR;;
9;BSQUEDA;;
9;CAPACITACIN;;
9;CHOQUE;;
9;COMPLICADO;;
9;COMUNIDAD;;
9;CREAR;;
9;DEBERA;;
9;DIFCIL;;
9;ECONMICOS;;
9;EGRESADOS;;
9;ESTRS;;
9;FOMENTA;;
9;FSICA;;
9;HABILIDADES;;
9;HABILITAR;;
9;INTERES;;
9;MISMA;;
9;PROMUEVE;;
9;RELLENO;;
9;SEMESTRE;;
9;SILLAS;;
9;VIAJE;;
8;ABANDONAR;;
8;ADAPTARSE;;
8;ALGO;;
8;AMBITO;;
8;AUXILIARES;;
8;BAOS;;
8;BUSCAR;;
8;CARREAR;;
8;CONLLEVA;;
8;CONSEGUIR;;
8;CUENTA;;
8;DEBIDO;;
8;DEMASIADO;;
8;DESARROLLAR;;
8;ENSEAN;;
8;ENTENDER;;
8;ESCOGIERON;;
8;ESTA;;
8;ESTAR;;
8;EXPLICACIN;;
8;INCLUSIN;;
8;INFORMTICA;;
8;INTERACCIN;;
8;LABORALES;;
8;LIMPIEZA;;
8;LLEVAR;;
8;MENUDO;;
8;NUESTRO;;
8;NUEVAS;;
8;ORGANIZA;;
8;PUEDA;;
8;PUENTES;;
8;PUNTOS;;
8;RESPUESTA;;
8;SEGUIR;;
8;SEGURIDAD;;
8;SEMANA;;
8;SIRVEN;;
8;TRABAJAN;;
7;ACERCA;;
7;ATENCIN;;
7;AVECES;;
7;AYUDAR;;
7;AYUDEN;;
7;BUEN;;
7;CASA;;
7;CONTENIDO;;
7;DIFICULTA;;
7;DIVERSIDAD;;
7;EDUCATIVOS;;
7;ENFOQUE;;
7;EXPERTAS;;
7;EXTRAS;;
7;GENIAL;;
7;HABER;;
7;HORAS;;
7;INFORMACION;;
7;LIBROS;;
7;MATEMTICAS;;
7;MOTIVADOS;;
7;NADA;;
7;NECESIDADES;;
